Population	prediction
Tajikistan	Bulgaria_2	3787.0505113969552
Tajikistan	Bulgaria_2	3798.3838966951853
Tajikistan	Bulgaria_2	3809.374441598949
Tajikistan	Chechens_2	1098.1840843560278
Tajikistan	Chechens_2	1983.5432809894164
Tajikistan	Chechens_2	1987.2593214495541
Tajikistan	Chechens_2	1969.2393249946701
Tajikistan	Chechens_2	1985.2745924477442
Tajikistan	Chechens_2	1983.9711788307136
Tajikistan	Chechens_2	1964.2463436508774
Tajikistan	Chechens_2	1974.3208174339343
Tatars	Finnish_2	1741.272695389277
Tatars	Finnish_2	1741.2991742136676
Tatars	Finnish_2	1740.1468942176843
Tatars	Finnish_3	1733.355993410935
Tatars	Finnish_1	1748.747184154987
Tatars	Finnish_1	1748.8166036116775
Tatars	Finnish_4	1737.594510552842
Tatars	Finnish_3	1714.5184376847265
Tatars	Finnish_4	1741.9813666178677
Tatars	Finnish_4	1746.544916690837
Tatars	Finnish_2	1731.5293170005095
Tatars	Finnish_3	1748.353830395657
Tatars	Bermudian_1	8296.659584254408
Tatars	Finnish_3	1748.2090776775165
Tharu	Altaians_4	2552.5991347352897
Toliara_Madagascar	Ambilobe_Madagascar_3	1276.2006450428146
Toliara_Madagascar	Ambilobe_Madagascar_3	1281.6689945685282
Toliara_Madagascar	Ambilobe_Madagascar_3	1281.8110848137749
Toliara_Madagascar	Ambilobe_Madagascar_3	1266.6909435550533
Toliara_Madagascar	Ambilobe_Madagascar_3	1120.485575166864
Toliara_Madagascar	Manakara_Madagascar_2	326.55830377222725
Tsumkwe_Namibia	Andriesvale_Northern_Cape_RSA_0	1055.904396687841
Tsumkwe_Namibia	Southeastern_Namibia_1	903.5392375121036
Tunisia	Egypt_2	2226.679851058066
Tunisia	Egypt_2	2226.949282594976
Tunisia	Egypt_2	2224.8563244948064
Tunisia	Egypt_2	2226.861081181497
Tunisia	Egypt_2	2250.665332442413
Tunisia	Egypt_2	2230.733854915454
Tunisia	Egypt_2	2229.7056568305397
Tunisia	Egypt_2	2308.1757507705383
Tunisia	Egypt_2	2226.8877805060915
Tunisia	Egypt_2	2226.989075744405
Tunisia	Egypt_2	2246.1462977102424
UK	Dane_1	968.0740767746862
UK	Dane_1	974.3326341544016
UK	Dane_1	967.6733438417848
